agent,baseline,scenario,metric,agent_mean,baseline_mean,diff,ci95_low,ci95_high,p_value,significant,n_episodes
weighted,hybrid,burst_storm,mean_latency_ns,5911370.250907953,1019651.0029531863,4891719.247954765,4481319.418297178,5302119.077612353,2.5180034407082233e-59,True,200
weighted,hybrid,deadline_pressure,mean_latency_ns,1026400.3846084953,777580.1430921766,248820.24151631852,237506.48062006934,260134.0024125677,2.3198480958088336e-103,True,200
weighted,hybrid,memory_pressure,mean_latency_ns,2198495.6614519106,1465940.468255171,732555.19319674,708447.3116032415,756663.0747902385,2.693523643666466e-129,True,200
weighted,hybrid,asymmetric,mean_latency_ns,4352306.049335562,1454507.5620138282,2897798.487321733,2837408.100815586,2958188.8738278802,2.085060945743064e-167,True,200
random,hybrid,light_single,mean_latency_ns,1045458179.5223347,1305064.4477350533,1044153115.0745997,969415704.671873,1118890525.4773264,7.790555013807451e-70,True,200
random,hybrid,light_mixed,mean_latency_ns,959575735.8087181,1407333.0229965078,958168402.7857215,891519475.2465045,1024817330.3249385,8.298358445574618e-72,True,200
random,hybrid,medium_mixed,mean_latency_ns,372674732.2442325,1003663.3959339708,371671068.8482985,330376287.330151,412965850.36644596,7.100673720372733e-43,True,200
random,hybrid,heavy_inference,mean_latency_ns,812276972.093348,1242622.39209349,811034349.7012544,743722256.3349601,878346443.0675486,5.145953545476732e-60,True,200
random,hybrid,burst_storm,mean_latency_ns,435925138.9762383,1019651.0029531863,434905487.9732852,390762639.7487019,479048336.1978685,7.631367043339296e-48,True,200
random,hybrid,deadline_pressure,mean_latency_ns,544254.8850837713,777580.1430921766,-233325.25800840533,-243239.24761621028,-223411.26840060038,1.0781570217552707e-108,True,200
random,hybrid,memory_pressure,mean_latency_ns,1034957.0966765264,1465940.468255171,-430983.37157864444,-446354.98057125346,-415611.7625860354,9.795436985066182e-123,True,200
random,hybrid,asymmetric,mean_latency_ns,910820707.270535,1454507.5620138282,909366199.708521,839248368.264334,979484031.152708,8.176710750271422e-65,True,200
mlp,hybrid,light_single,mean_latency_ns,1305070.8427483374,1305064.4477350533,6.395013284324668,-1.6671805638218329,14.457207132471169,0.11936511822211829,False,200
