agent,baseline,scenario,metric,agent_mean,baseline_mean,diff,ci95_low,ci95_high,p_value,significant,n_episodes
weighted,hybrid,memory_pressure,dcr,0.98840395480226,1.0,-0.011596045197740124,-0.014140544625302592,-0.009051545770177655,1.9811248164925089e-16,True,200
weighted,hybrid,asymmetric,dcr,0.6980830150777009,0.999577326487691,-0.30149431140999033,-0.30636921303611203,-0.29661940978386864,5.7607710601028656e-189,True,200
random,hybrid,light_single,dcr,0.21892870926981314,0.9996538045714738,-0.7807250953016605,-0.7947859667881614,-0.7666642238151595,8.76440804281376e-180,True,200
random,hybrid,light_mixed,dcr,0.23098323575385094,0.9996734204973291,-0.7686901847434782,-0.7826612382232311,-0.7547191312637253,5.230845108864354e-179,True,200
random,hybrid,medium_mixed,dcr,0.2928677143909723,0.9995909437013407,-0.7067232293103684,-0.7238106233600864,-0.6896358352606503,6.881446841803654e-155,True,200
random,hybrid,heavy_inference,dcr,0.15526370573922185,0.9986716722945244,-0.8434079665553026,-0.8549390926287113,-0.8318768404818939,2.660080340885212e-203,True,200
random,hybrid,burst_storm,dcr,0.26549962447342296,0.9988574866050932,-0.7333578621316703,-0.7500128232405631,-0.7167029010227776,3.736024435308486e-160,True,200
random,hybrid,deadline_pressure,dcr,1.0,1.0,0.0,0.0,0.0,,False,200
random,hybrid,memory_pressure,dcr,1.0,1.0,0.0,0.0,0.0,,False,200
random,hybrid,asymmetric,dcr,0.22372445826569276,0.999577326487691,-0.7758528682219983,-0.7906503881250515,-0.7610553483189451,6.482137687584147e-175,True,200
mlp,hybrid,light_single,dcr,0.9996538045714738,0.9996538045714738,0.0,0.0,0.0,,False,200
mlp,hybrid,light_mixed,dcr,0.9980964359475155,0.9996734204973291,-0.0015769845498135322,-0.004686729553002232,0.0015327604533751677,0.31852491231977387,False,200
mlp,hybrid,medium_mixed,dcr,0.9927952345429785,0.9995909437013407,-0.006795709158362231,-0.012805574865542579,-0.0007858434511818831,0.026877776581011686,True,200
mlp,hybrid,heavy_inference,dcr,0.9897563189004469,0.9986716722945244,-0.008915353394077386,-0.016556608607685347,-0.0012740981804694254,0.022441428296109314,True,200
mlp,hybrid,burst_storm,dcr,0.990111397464717,0.9988574866050932,-0.008746089140376244,-0.01649697246364795,-0.0009952058171045402,0.027193739252976773,True,200
mlp,hybrid,deadline_pressure,dcr,1.0,1.0,0.0,0.0,0.0,,False,200
mlp,hybrid,memory_pressure,dcr,0.9996652542372881,1.0,-0.0003347457627118644,-0.0008544934899747125,0.00018500196455098375,0.20555086465585679,False,200
mlp,hybrid,asymmetric,dcr,0.9995708748747879,0.999577326487691,-6.451612903226045e-06,-1.9173913188721697e-05,6.270687382269605e-06,0.31852491231977376,False,200
ppo,hybrid,light_single,dcr,0.9821501269220948,0.9996538045714738,-0.017503677649378938,-0.018628569535207976,-0.0163787857635499,2.2238844514502304e-77,True,200
ppo,hybrid,light_mixed,dcr,0.9835924811149304,0.9996734204973291,-0.016080939382398844,-0.017116820087366466,-0.015045058677431222,3.2678801567482205e-77,True,200
ppo,hybrid,medium_mixed,dcr,0.9265336629746378,0.9995909437013407,-0.073057280726703,-0.07550591753801025,-0.07060864391539576,8.448553470833784e-128,True,200
ppo,hybrid,heavy_inference,dcr,0.9048503987119686,0.9986716722945244,-0.09382127358255583,-0.09587200410514042,-0.09177054305997125,2.2207548099520157e-163,True,200
ppo,hybrid,burst_storm,dcr,0.9173948177426994,0.9988574866050932,-0.08146266886239392,-0.0841993104893545,-0.07872602723543334,1.3022601538540958e-127,True,200
ppo,hybrid,deadline_pressure,dcr,1.0,1.0,0.0,0.0,0.0,,False,200
ppo,hybrid,memory_pressure,dcr,1.0,1.0,0.0,0.0,0.0,,False,200
ppo,hybrid,asymmetric,dcr,0.9203010059219489,0.999577326487691,-0.07927632056574231,-0.08173968069384843,-0.07681296043763619,5.176537190917817e-134,True,200
xgboost,hybrid,light_single,dcr,0.9288116040777211,0.9996538045714738,-0.0708422004937526,-0.08846874763250304,-0.05321565335500217,1.5893709341084304e-13,True,200
xgboost,hybrid,light_mixed,dcr,0.9303829746754346,0.9996734204973291,-0.0692904458218945,-0.08628606541334735,-0.052294826230441654,7.88684234533612e-14,True,200
xgboost,hybrid,medium_mixed,dcr,0.9702185666005363,0.9995909437013407,-0.029372377100804488,-0.04159456165286,-0.01715019254874898,4.081962633217707e-06,True,200
xgboost,hybrid,heavy_inference,dcr,0.9046213775551135,0.9986716722945244,-0.09405029473941078,-0.1152315721110475,-0.07286901736777406,8.74881460931073e-16,True,200
xgboost,hybrid,burst_storm,dcr,0.9629375488819956,0.9988574866050932,-0.03591993772309758,-0.05079936521146032,-0.02104051023473484,3.7115562813736795e-06,True,200
xgboost,hybrid,deadline_pressure,dcr,1.0,1.0,0.0,0.0,0.0,,False,200
xgboost,hybrid,memory_pressure,dcr,1.0,1.0,0.0,0.0,0.0,,False,200
xgboost,hybrid,asymmetric,dcr,0.9282137202820457,0.999577326487691,-0.07136360620564534,-0.08936725561398769,-0.053359956797303,3.086680703190349e-13,True,200
